FOLIO INSTITUCIONAL,MÓDULO,FOLIO DE MÓDULO,SEMANA,ESTACIÓN,LÍNEA,FECHA,DÍA,MES,HORA DE AGRESIÓN,HORA DE ATENCIÓN,HORA DE CIERRE DE ATENCIÓN,DESCRIPCIÓN,MODO DE ACCIÓN,DELITO,LUGAR DE LOS HECHOS,SEXO,EDAD,OCUPACIÓN ESPECÍFICA,OCUPACIÓN GENERAL,ESCOLARIDAD DE LA VICTIMA,DELEGACIÓN O MUNICIPIO,ESTADO,SEXO AGRESOR,EDAD  AGRESOR,OCUPACIÓN ESPECÍFICA 2,OCUPACIÓN GENERAL 2,ESCOLARIDAD,DELEGACIÓN O MUNICIPIO 2,ESTADO2,SIN DETENIDO,OBSERVACIONES,OBSTÁCULOS DE COLABORACIÒN,AUTORIDAD,CORPORACION REMITENTE
2020,PANTITLÁN,P-015,DEL 17 AL 21 DE MARZO DE 2014,ACATITLA,A,19 DE MARZO DE 2014,MIÉRCOLES,MARZO,08:50,09:20,20:55,TOCAMIENTO EN GENITALES Y EYACULACIÓN,PERSISTENTE Y VIOLENTA,ABUSO SEXUAL,CUARTO VAGÓN,HOMBRE,18,EMPLEADO,EMPLEADO,PREPARATORIA,MUNICIPIO SAN VICENTE CHICOLOAPAN,ESTADO DE MÉXICO,HOMBRE ,48,EMPLEADO,EMPLEADO,PRIMARIA,DELEGACIÓN IZTAPALAPA,DF,NA,NINGUNA,NINGUNO,FDS,PA
2021,HIDALGO,H-022,DEL 17 AL 21 DE MARZO DE 2014,TACUBAYA,2,19 DE MARZO DE 2014,MIÉRCOLES,MARZO,08:15,09:10,17:10,TOMA DE FOTOGRAFÍAS,PERSISTENTE Y POCO AGRESIVA,ACOSO SEXUAL,ESCALERAS ELÉCTRICAS,MUJER,26,EMPLEADA,EMPLEADA,PROFESIONAL,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,HOMBRE,30,ELECTRICISTA,OFICIO,SECUNDARIA,MUNICIPIO LOS REYES LA PAZ,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PBI
2022,PINO SUÁREZ,PS-019,DEL 17 AL 21 DE MARZO DE 2014,PINO SUÁREZ,2,20 DE MARZO DE 2014,JUEVES,MARZO,14:28,14:37,18:30,VEJACIONES (AGRESIÓN VERBAL),PERSISTENTE Y VIOLENTA ,VEJACIONES,PASILLO  DE CORRESPONDENCIA ,MUJER,25,EMPLEADA,EMPLEADA,PROFESIONAL,MUNICIPIO DE COACALCO,ESTADO DE MÉXICO,HOMBRE,44,EMPLEADO DE LIMPIEZA,EMPLEADO,PRIMARIA,MUNICIPIO DE NEZAHUALCÓYOTL,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,JC,PA
2023,PANTITLÁN,P-016,DEL 24 AL 27 DE MARZO DE 2014,ACATITLA,A,24 DE MARZO DE 2014,LUNES,MARZO,09:50,10:22,14:30,VEJACIONES (AGRESIÓN VERBAL),PERSISTENTE Y VIOLENTA ,VEJACIONES,QUINTO VAGÓN,MUJER,30,EMPLEADA DE SEGURIDAD PRIVADA,EMPLEADA,SECUNDARIA,MUNICIPIO DE IXTAPALUCA,ESTADO DE MÉXICO,HOMBRE,37,CHOFER,EMPLEADO,SECUNDARIA,MUNICIPIO DE LOS REYES,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,JC,PA
2024,PINO SUÁREZ,PS-020,DEL 24 AL 27 DE MARZO DE 2014,CHABACANO,8,24 DE MARZO DE 2014,LUNES,MARZO,12:40,13:25,16:35,TOCAMIENTO EN GLÚTEO,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,PASILLO  DE CORRESPONDENCIA ,MUJER,25,ESTUDIANTE,ESTUDIANTE,PREPARATORIA,DELEGACIÓN  IZTACALCO,DF,HOMBRE,38,EMPLEADO,EMPLEADO,PRIMARIA,MUNICIPIO DE LOS REYES,ESTADO DE MÉXICO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN LA FDS,NINGUNO,DC,PA
2025,BALDERAS,B-022,DEL 24 AL 27 DE MARZO DE 2014,HIDALGO,3,24 DE  MARZO DE 2014,LUNES,MARZO,17:00,17:19,18:50,VEJACIONES (AGRESIÓN VERBAL),PERSISTENTE Y VIOLENTA,VEJACIONES,SEXTO VAGÓN,MUJER,38,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,DELEGACIÓN BENITO JUÁREZ,DF,HOMBRE,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DETENIDO,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,SIN DETENIDO
2026,BALDERAS,B-023,DEL 24 AL 27 DE MARZO DE 2014,CHAPULTEPEC,1,25 DE MARZO DE 2014,MARTES,MARZO,19:05,19:25,20:28,TOCAMIENTO EN GLÚTEOS Y ÁREA PÚBICA,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,39,EMPLEADA,EMPLEADA,PREPARATORIA,DELEGACIÓN IZTACALCO,DF,HOMBRE,45,PINTOR,OFICIO,PRIMARIA,DELEGACIÓN GUSTAVO A. MADERO,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PBI
2027,BALDERAS,B-024,DEL 24 AL 27 DE MARZO DE 2014,BALDERAS,1,28 DE MARZO DE 2014,VIERNES,MARZO,11:20,11:40,13:05,TOCAMIENTO EN GLÚTEOS Y ÁREA PÚBICA,PERSISTENTE Y VIOLENTA,ABUSO SEXUAL,TERCER VAGÓN,MUJER,26,COMERCIANTE,COMERCIANTE,PREPARATORIA,DELEGACIÓN CUAUHTÉMOC,DF,HOMBRE,48,COMERCIANTE,COMERCIANTE,PRIMARIA,DELEGACIÓN GUSTAVO A. MADERO,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN LA FDS,NINGUNO,DC,PBI
2028,PANTITLÁN,P-017,DEL 24 AL 27 DE MARZO DE 2014,PANTITLÁN,1,28 DE MARZO DE 2014,VIERNES,MARZO,14:30,14:41,15:50,VEJACIONES (AGRESIÓN VERBAL),RÁPIDA Y VIOLENTA,VEJACIONES,PASILLO  DE CORRESPONDENCIA ,MUJER,26,ESTUDIANTE,ESTUDIANTE,PROFESIONAL INCOMPLETA,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,45,COMERCIANTE,COMERCIANTE,PRIMARIA,MUNICIPIO DE IXTAPALUCA,ESTADO DE MÉXICO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PBI
2029,BALDERAS,B-025,31 DE MARZO AL 04 DE ABRIL,CUAUHTEMÓC,1,31 DE MARZO DE 2014,LUNES,MARZO,07:35,08:05,08:30,TOCAMIENTO EN GLÚTEOS,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,NOVENO VAGÓN,MUJER,43,EJECUTIVO EN VENTAS,EMPLEDA,PREPARATORIA,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,HOMBRE,52,CHOFER,EMPLEADO,SECUNDARIA,DELEGACIÓN AZCAPOTZALCO,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PBI
2030,BALDERAS,B-026,31 DE MARZO AL 04 DE ABRIL,INSURGENTES,1,31 DE MARZO DE 2014,LUNES,MARZO,09:00,09:17,16:47,TOCAMIENTO EN GLÚTEO Y PIERNA,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,ANDEN,MUJER,23,SERVIDORA PUBLICA,SERVIDORA PÚBLICA,PROFESIONAL,DELEGACIÓN CUAHTÉMOC,DF,HOMBRE,43,EMPLEADO,EMPLEADO,SECUNDARIA,DELEGACIÓN XOCHIMILCO,DF,NA,NINGUNA,NINGUNO,FDS,PA
2031,HIDALGO,H-023,31 DE MARZO AL 04 DE ABRIL,HIDALGO,3,31 DE MARZO DE 2014,LUNES,MARZO,09:10,09:15,17:05,TOCAMIENTO EN GENITALES,PERSISTENTE Y VIOLENTA,ABUSO SEXUAL,QUINTO VAGÓN,HOMBRE,34,EMPLEADO,EMPLEADO,PREPARATORIA,DELEGACIÓN CUAUHTÉMOC,DF,HOMBRE,64,MENSAJERO,EMPLEADO,PRIMARIA,DELEGACIÓN GUSTAVO A. MADERO,DF,NA,NINGUNA,NINGUNO,FDS,PA
2032,PANTITLÁN,P-018,31 DE MARZO AL 04 DE ABRIL,PANTITLÁN,9,02 DE ABRIL DE 2014 ,MIÉRCOLES,ABRIL,11:08,11:25,17:30,TOCAMIENTO EN GLÚTEO,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,ESCALERAS FIJAS,MUJER,25,EMPLEADA,EMPLEADA,SECUNDARIA,DELEGACIÓN VENUSTIANO CARRANZA,DF,HOMBRE ,26,ROSTISERO,OFICIO,SECUNDARIA,MUNICIPIO DE LOS REYES,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PA
2033,PINO SUÁREZ,PS-021,31 DE MARZO AL 04 DE ABRIL,MIXUCA,9,03 DE ABRIL DE 2014,VIERNES,ABRIL,08:40,09:58,15:08,TOCAMIENTO EN GLÚTEO Y FRICCIÓN DE PENE,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,QUINTO VAGÓN,MUJER,23,EMPLEADA,EMPLEADA,SECUNDARIA,MUNICIPIO DE NEZAHUALCÓYOTL,ESTADO DE MÉXICO,HOMBRE,43,EMPLEADO,EMPLEADO,PREPARATORIA,MUNICIPIO DE NEZAHUALCÓYOTL,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PBI
2034,PINO SUÁREZ,PS-022,31 DE MARZO AL 04 DE ABRIL,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),03 DE ABRIL DE 2014,JUEVES,ABRIL,14:00 DEL 02 DE ABRIL DE 2014,14:40,21:00,VIOLENCIA FAMILIAR (VERBAL),PERSISTENTE Y VIOLENTA,VIOLENCIA FAMILIAR,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),MUJER,40,EMPLEADA DOMÉSTICA,EMPLEADA,CARRERA TÉCNICA,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,42,POLICÍA ,SERVIDOR PÚBLICO,SIN DATO,DELEGACIÓN IZTAPALAPA,DF,SIN DETENIDO,NINGUNA,NINGUNO,OTRA INSTANCIA (CAVI),SIN DETENIDO
2035,HIDALGO,H-024,31 DE MARZO AL 04 DE ABRIL,BELLAS ARTES,8,04 DE ABRIL DE 2014,VIERNES,ABRIL,07:40,08:30,13:11,TOCAMIENTO EN GLÚTEO,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,SEXTO VAGÓN,MUJER,22,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,DELEGACIÓN CUAHTÉMOC,DF,HOMBRE,37,ALBAÑIL,OFICIO,SECUNDARIA,DELEGACIÓN IZTACALCO,DF,NA,NO SE PUDO HACER ENLACE A LA FISCALÍA POR QUE NO CONTESTABAN POR LO QUE SE HIZO EL TRASLADO DIRECTO A LA FDS-6,NINGUNO,FDS,PBI
2036,BALDERAS,B-027,31 DE MARZO AL 04 DE ABRIL,SALTO DEL AGUA,1,04 DE ABRIL DE 2014,VIERNES,ABRIL,11:30,12:25,13:30,VIOLENCIA FAMILIAR (VERBAL),PERSISTENTE Y VIOLENTA,VIOLENCIA FAMILIAR,TORNIQUETES,MUJER,22,TAREAS DEL HOGAR,TAREAS DEL HOGAR,PREPARATORIA,MUNICIPIO DE APIZACO,ESTADO DE TLAXCALA,HOMBRE,31,ALBAÑIL,OFICIO,SECUNDARIA,DELEGACIÓN VENUSTIANO CARRANZA,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PBI
2037,BALDERAS,B-028,31 DE MARZO AL 04 DE ABRIL,BALDERAS,3,04 DE ABRIL DE 2014,VIERNES,ABRIL,15:25,15:50,23:30,TOCAMIENTO EN ÁREA PÚBICA,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,17,EMPLEADA DOMÉSTICA,EMPLEADA,SECUNDARIA,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,HOMBRE,47,CHOFER,EMPLEADO,PRIMARIA,MUNICIPIO DE TULTITLAN,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PA
2038,PINO SUÁREZ,PS-023,31 DE MARZO AL 04 DE ABRIL,PINO SUÁREZ,2,04 DE ABRIL DE 2014,VIERNES,ABRIL,16:00,16:05,16:45,FRICCIÓN DE PENE EN GLÚTEOS,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,PRIMER VAGÓN,MUJER,36,PROPINERA,EMPLEADA,SECUNDARIA,MUNICIPIO DE CHALCO,ESTADO DE MÉXICO,HOMBRE,50,SERVIDOR PÚBLICO,SERVIDOR PÚBLICO,BACHILLERATO,SIN DATO,SIN DATO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PBI
2039,BALDERAS,B-029,DEL 07 AL 11 DE ABRIL,TACUBAYA,1,07 DE ABRIL DE 2014,LUNES,ABRIL,12:00,14:04,14:53,PERSECUCIÓN CON POSIBLES FINES LASCIVOS,PERSISTENTE Y VIOLENTA,ACOSO SEXUAL,PASILLO  DE CORRESPONDENCIA ,MUJER,19,DESEMPLEADA,DESEMPLEADA,PROFESIONAL INCOMPLETA,MUNICIPIO DE CHIMALHUACÁN,ESTADO DE MÉXICO,HOMBRE,45,DESEMPLEADO,DESEMPLEADO,SECUNDARIA,DELEGACIÓN VENUSTIANO CARRANZA,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PA
2040,BALDERAS,B-030,DEL 07 AL 11 DE ABRIL,SALTO DEL AGUA,1,07 DE ABRIL DE 2014,LUNES,ABRIL,16:00,16:30,20:50,TOCAMIENTO EN LA PIERNA DERECHA Y TOMA DE VIDEO,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,ESCALERAS FIJAS,MUJER,19,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,DELEGACIÓN    TLALPAN,DF,HOMBRE,41,ALBAÑIL,OFICIO,SECUNDARIA,DELEGACIÓN MIGUEL HIDALGO,DF,NA,NINGUNA,NINGUNO,FDS,PBI
2041,HIDALGO,H-025,DEL 14 AL 18 DE ABRIL ,INDIOS VERDES,3,14 DE ABRIL DE 2014,LUNES,ABRIL,10:40,11:21,14:27,TOCAMIENTO EN GLÚTEO,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,QUINTO VAGÓN ,HOMBRE,28,EMPLEADO,EMPLEADO,PREPARATORIA INCOMPLETA,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,HOMBRE,47,DESEMPLEADO,DESEMPLEADO,PRIMARIA,DEGEACIÓN BENITO JUÁREZ,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PA
2042,PINO SUÁREZ,PS-024,DEL 14 AL 18 DE ABRIL ,PINO SUÁREZ,2,14 DE ABRIL DE 2014,LUNES,ABRIL,11:58,12:29,20:29,TOCAMIENTO EN GLÚTEO,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,SEGUNDO VAGÓN ,MUJER,27,ABOGADA,PROFESIONISTA,PROFESIONAL,DELEGACIÓN IZTPALAPA,DF,HOMBRE,38,ENCUESTADOR,EMPLEADO,PREPARATORIA,MUNICIPIO DE NEZAHUALCÓYOTL,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PA
2043,PINO SUÁREZ,PS-025,DEL 14 AL 18 DE ABRIL ,INDIOS VERDES,3,14 DE ABRIL DE 2014,LUNES,ABRIL,14:30,16:06,16:40,VEJACIONES (AGRESIÓN VERBAL),PERSISTENTE Y POCO AGRESIVA,VEJACIONES,PASILLO  DE CORRESPONDENCIA ,MUJER,25,PSICOLOGA,PROFESIONISTA,PROFESIONAL,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,HOMBRE,36,CHOFER,EMPLEADO,SECUNDARIA,MUNICIPIO DE CHICONAUTLA,ESTADO DE MÉXICO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PBI
2044,PINO SUÁREZ,PS-026,DEL 14 AL 18 DE ABRIL ,INDIOS VERDES,3,16 DE ABRIL DE 2014,MIÉRCOLES,ABRIL,17:40,18:50,00:26,TOCAMIENTO EN SENO Y GLÚTEO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,24,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,MUNICIPIO DE TECAMAC,ESTADO DE MÉXICO,HOMBRE,22,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,DELEGACIÓN MIGUEL HIDALGO,DF,NA,NINGUNA,NINGUNO,FDS,PBI
2045,BALDERAS,B-031,DEL 21 AL 25 DE ABRIL DE 2014,CHAPULTEPEC,1,22 DE ABRIL DE 2014,MARTES,ABRIL,08:20,10:32,16:45,ATENCIÓN A POSIBLE SUICIDA,NO APLICA,ATENCIÓN A POSIBLE SUICIDA,ANDEN,MUJER,37,TAREAS DEL HOGAR,TAREAS DEL HOGAR,SECUNDARIA,MUNICIPIO DE TIZAYUCA,ESTADO DE HIDALGO,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NINGUNA,NINGUNO,OTRA INSTANCIA (ADEVI),PA
2046,HIDALGO,H-026,DEL 21 AL 25 DE ABRIL DE 2014,HIDALGO,3,22 DE ABRIL DE 2014,MARTES,ABRIL,13:26,13:50,14:35,TOCAMIENTO EN GLÚTEOS,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,ANDEN,MUJER,33,POLICÍA AUXILIAR,SERVIDORA PÚBLICA,SECUNDARIA,MUNICIPIO DE TULTITLAN,ESTADO DE MÉXICO,HOMBRE,30,EMPLEADO DEL SAT,SERVIDOR PÚBLICO,PROFESIONAL,DELEGACIÓN VENUSTIANO CARRANZA,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PA
2047,HIDALGO,H-027,DEL 21 AL 25 DE ABRIL DE 2014,18 DE MARZO,3,22 DE ABRIL DE 2014,MARTES,ABRIL,17:27,19:10,01:00,TOCAMIENTO EN GLÚTEOS,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,29,POLICÍA FEDERAL,SERVIDORA PÚBLICA,PROFESIONAL INCOMPLETA,MUNICIPIO DE TECAMAC,ESTADO DE MÉXICO,HOMBRE,22,EMPLEADO,EMPLEADO,PREPARATORIA,DELEGACIÓN GUSTAVO A. MADERO,DF,NA,NINGUNA,NINGUNO,FDS,PBI
2048,BALDERAS,B-032,DEL 21 AL 25 DE ABRIL DE 2014,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),23 DE ABRIL DE 2014,MIÉRCOLES,ABRIL,01:30 EL 22/04/2014,08:20,14:38,TOCAMIENTO EN SENOS Y PIERNA,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),MUJER,21,EMPLEADA,EMPLEADA,SECUNDARIA,DELEGACIÓN COYOACÁN,DF,HOMBRE,34,ADMINISTRADOR,EMPLEADO,PROFESIONAL,DELEGACIÓN COYOACÁN,DF,SIN DETENIDO,REFIERE LA C. OFICIAL SECRETARIO DEL MP. QUE DEBIDO A QUE NO PUEDE HACER EL LLAMADO PARA ABOGADO VICTIMAL LA TIENE QUE ASISTIR LA ABOGADA DE INMUJERES (MARÍA TERESA VELÁZQUEZ TORRES).,NINGUNO,FDS,SIN DETENIDO
2049,HIDALGO,H-028,DEL 21 AL 25 DE ABRIL DE 2014,HIDALGO,3,24 DE ABRIL DE 2014,JUEVES,ABRIL,14:18,14:30,14:50,TOMA DE FOTOGRAFÍAS,NEGANDO LOS HECHOS ,ACOSO SEXUAL,ESCALERAS FIJAS,MUJER,21,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,MUNICIPIO DE NAUCAPAN,ESTADO DE MÉXICO,HOMBRE,30,PLOMERO,OFICIO,PRIMARIA,MUNICIPIO DE NAUCALPAN,ESTADO DE MÉXICO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PA
2050,PANTITLÁN,P-019,DEL 28 DE ABRIL AL 02 DE MAYO 2014,INSURGENTES,1,28 DE ABRIL DE 2014,LUNES,ABRIL,15:20,16:40,22:35,TOCAMIENTO EN GENITALES,PERSISTENTE Y VIOLENTA,ABUSO SEXUAL,QUINTO VAGÓN,HOMBRE,20,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,DELEGACIÓN IZTACALCO,DF,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DETENIDO,NINGUNA,NINGUNO,FDS,SIN DETENIDO
2051,HIDALGO,H-029,DEL 28 DE ABRIL AL 02 DE MAYO 2014,CONSTITUCIÓN DE 1917,8,30 DE ABRIL DE 2014,MIÉRCOLES,ABRIL,08:25,10:00,15:42,TOCAMIENTO EN  GLÚTEO Y PIERNA,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,26,EMPLEADA,EMPLEADA,PROFESIONAL INCOMPLETA,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,32,CARPINTERO,OFICIO,SECUNDARIA,DELEGACIÓN IZTAPALAPA,DF,NA,NINGUNA,NINGUNO,FDS,PBI
2052,PINO SUÁREZ,PS-027,DEL 28 DE ABRIL AL 02 DE MAYO 2014,FUERA DE LAS INSTALACIONES DEL STC (TRABAJO DE LA VICTIMA),FUERA DE LAS INSTALACIONES DEL STC (TRABAJO DE LA VICTIMA),30 DE ABRIL DE 2014,MIÉRCOLES,ABRIL,10:00 DEL 24 DE ABRIL DE 2014,17:45,01:52,FROTAMIENTO DE PENE EN MUSLO ,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,FUERA DE LAS INSTALACIONES DEL STC (TRABAJO DE LA VICTIMA),MUJER,17,EMPLEADA DE GOBIERNO,SERVIDORA ,SECUNDARIA,DELEGACION VENUSTIANO CARRANZA,DF,HOMBRE,55,SERVIDOR PÚBLICO,SERVIDOR PÚBLICO,PROFESIONAL,SIN DATO,SIN DATO,SIN DETENIDO,NINGUNA,NINGUNO,FDS,SIN DETENIDO
2053,HIDALGO,H-030,DEL 28 DE ABRIL AL 02 DE MAYO 2014,INDIOS VERDES,3,30 DE ABRIL DE 2014,MIÉRCOLES,ABRIL,13:50,14:50,17:35,TOMA DE VIDEO,PERSISTENTE Y POCO AGRESIVA,ACOSO SEXUAL,PRIMER VAGÓN,MUJER,24,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,MUNICIPIO DE TLANEPANTLA,ESTADO DE MÉXICO,HOMBRE,25,POLICÍA FEDERAL,SERVIDOR PÚBLICO,PREPARATORIA,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,DC,PA
2054,BALDERAS,B-033,DEL 28 DE ABRIL AL 02 DE MAYO 2014,JUÁREZ,3,02 DE MAYO DE 2014,VIERNES,MAYO,08:55,09:20,15:48,FRICCIÓN DE PENE Y EYACULACIÓN,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,SEXTO VAGÓN,MUJER,41,PROFESIONISTA POR SU CUENTA,PROFESIONISTA,PROFESIONAL,DELEGACIÓN MIGUEL HIDALGO,DF,HOMBRE,34,SEGURIDAD PRIVADA,EMPLEADO,PRIMARIA,DELEGACIÓN GUSTAVO A. MADERO,DF,NA,NINGUNA,NINGUNO,FDS,PA
2055,HIDALGO,H-031,DEL 05 AL 09 DE MAYO DE 2014,FUERA DE LAS INSTALACIONES DEL STC ,FUERA DE LAS INSTALACIONES DEL STC ,07 DE MAYO DE 2014,MIÉRCOLES,MAYO,14:00 DEL 16 DE ABRIL DE 2014,13:53,20:25,VIOLENCIA FAMILIAR (VERBAL Y FÍSICA),PERSISTENTE Y VIOLENTA ,VIOLENCIA FAMILIAR,FUERA DE LAS INSTALACIONES DEL STC ,MUJER,40,EMPLEADA,EMPLEADA,CARRERA TÉCNICA,DELEGACIÓN CUAUHTÉMOC,DF,HOMBRE,33,DESEMPLEADO,DESEMPLEADO,SECUNDARIA,DELEGACIÓN CUAUHTÉMOC,DF,SIN DETENIDO,NINGUNA,NINGUNO,OTRA INSTANCIA (CAVI),SIN DETENIDO
2056,BALDERAS,B-034,DEL 05 AL 09 DE MAYO DE 2014,ESCUADRÓN 201,8,09 DE MAYO DE 2014,VIERNES,MAYO,09:47,15:53,13:20,TOMA DE FOTOGRAFÍAS,PERSISTENTE Y POCO AGRESIVA,ACOSO SEXUAL,PRIMER VAGÓN,MUJER,16,DESMOSTRADORA,EMPLEADA,SECUNDARIA INCOMPLETA,DELEGACIÓN IZTAPALAPA,DF,HOMBRE ,33,AYUDANTE DE ABOGADO,EMPLEADO,PREPARATORIA,DELEGACIÓN IZTAPALAPA,DF,NA,NINGUNA,NINGUNO,DC,PBI
2057,HIDALGO,H-032,DEL 05 AL 09 DE MAYO DE 2014,PINO SUÁREZ,2,09 DE MAYO DE 2014,VIERNES,MAYO,14:20,15:48,20:40,TOCAMIENTO EN PIERNA,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,SEGUNDO VAGÓN ,MUJER,24,MÚSICA,PROFESIONISTA,PROFESIONAL,DELEGACIÓN CUAUHTÉMOC,DF,HOMBRE,34,AFANADOR,OFICIO,SECUNDARIA,MUNICIPIO DE TLANEPANTLA,ESTADO DE MÉXICO,NA,NINGUNA ,NINGUNO,FDS,PBI
2058,PINO SUÁREZ,PS-028,DEL 12 AL 16 DE MAYO DE 2014,ERMITA,12,13 DE MAYO DE 2014,MARTES,MAYO,09:40,10:55,19:00,PALABRAS LASCIVAS Y PERSECUCIÓN CON POSIBLES FINES LASCIVOS,NEGANDO LOS HECHOS ,ACOSO SEXUAL,ESCALERAS FIJAS,MUJER,50,ENCUESTADORA,EMPLEADA,CARRERA TÉCNICA,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,46,DESEMPLEADO,DESEMPLEADO,SECUNDARIA,DELEGACIÓN COYOACÁN,DF,NA,INICIALMENTE CANALIZARON A UNA AGENCIA DISTINTA A LA QUE INICIO POR CARGA DE TRABAJO,NINGUNO,FDS,PBI
